wav_path,transcript,duration
common_voice_hy-AM_26185159.wav,այդ պատճառով նրանք փորձում էին անցյալը բերել իրենց ժամանակաշրջանի պատմության մեջ,8.064
common_voice_hy-AM_26185160.wav,խումբն ելույթ է ունենալու երգի անգլերեն տարբերակով,6.948
common_voice_hy-AM_26185161.wav,մուրադը երկար ժամանակ գտնվում էր իր հարազատների հսկողության տակ,8.136
common_voice_hy-AM_26185168.wav,այս օրինակը ցույց է տալիս թեգն ընտրելու երկու տարբեր մեթոդ,6.336
common_voice_hy-AM_26185171.wav,այն մեծ պահանջարկ ուներ հարան շրջաններում,5.436
common_voice_hy-AM_26185172.wav,երբեմն նույնացվում են վիճակի երգերի հետ,5.22
common_voice_hy-AM_26185173.wav,ադրբեջանի ժողովրդական նկարիչ,4.32
common_voice_hy-AM_26185174.wav,եվ մայրը հայրը ոստիկանության աշխատակիցներ էին,7.272
common_voice_hy-AM_26185175.wav,նրա ժամանակ աշխարհագրությունը գիտական տեսակետից գտնվել է անբավարար վիճակում,8.784
common_voice_hy-AM_26185176.wav,հետագայում նա հրաժարվում է բացատրել թե ինչպես է արել այդ ամենը,7.56
common_voice_hy-AM_26185208.wav,մորգանը այդ ժամանակներից մինչ այսօր խաղում է կենտրոնական պաշտպանի դիրքում,7.452
common_voice_hy-AM_26185209.wav,խաղալով կատուն երեխաները իրերը վերադարձնում են իրենց տեղը,6.696
common_voice_hy-AM_26185210.wav,անկախ նրանից թե որտեղ ես դու ես քո տանն եմ,5.22
common_voice_hy-AM_26185211.wav,եկեղեցին գտնվում է գյուղի կենտրոնում,4.104
common_voice_hy-AM_26185212.wav,շատ քննադատներ ջերմորեն ողջունեցին սերիայի չորրորդ գիրքը,6.444
common_voice_hy-AM_26253023.wav,իսկ բուսականութեան եւ կենդանական համակարգային ընթացքը կաշխուժանայ,9.216
common_voice_hy-AM_26253024.wav,նրանք իրենց օրերն անցկացնում են ծաղկած այգում դառնում անբաժան ընկերներ,9.108
common_voice_hy-AM_26253025.wav,սովետական սահմանապահի մոտ եկել էր հարսնացուն,6.516
common_voice_hy-AM_26253026.wav,հեղինակի գրքերի հիմնական ընթերցողները կանայք են,5.94
common_voice_hy-AM_26253027.wav,աստվածաշնչում ասորի մասին հիշատակվում է երեք անգամ,5.76
common_voice_hy-AM_26253033.wav,անվան նշանակությունը վիճելի է,4.176
common_voice_hy-AM_26253035.wav,նրանք ապաստան են գտնում ձկնորսական հյուղակում ստիպված էին սպասել այնտեղ,9.216
common_voice_hy-AM_26253037.wav,մայր գետին միանալուց առաջ անցնում է համանուն գետի մոտով,6.228
common_voice_hy-AM_26253039.wav,հազվադեպ է գործածվել այնուհետ ընդհանրապես դուրս է եկել գործածությունից,7.38
common_voice_hy-AM_26253053.wav,նրանք իրարից հիմնականում տարբերվում են չափսով,5.508
common_voice_hy-AM_26253054.wav,նրանց հարաբերությունները կարծես մտել են փակուղի,5.94
common_voice_hy-AM_26253068.wav,նախնական կրթությունը ստացել է գյուղի դպրոցում,5.076
common_voice_hy-AM_26253069.wav,այդ ելույթներից հետո ամբաստանյալները նրան դավաճան են հայտարարել,6.408
common_voice_hy-AM_26253070.wav,թողարկվել են հուշադրամներ թանկարժեք ու ոչ թանկարժեք մետաղներից,8.496
common_voice_hy-AM_26253071.wav,սկզբում հեղինակն այս գիրքը գրել էր իր երեխաների համար,6.696
common_voice_hy-AM_26253072.wav,այն մատուցում են ոչ մեծ բաժակներով հաճախ սուրճի հետ,7.668
common_voice_hy-AM_26253078.wav,կոչվել է ներկայում գոյություն չունեցող գետակի անունով,6.876
common_voice_hy-AM_26253079.wav,դրան սկիզբ դրեց կաշվի գործարանի շինարարությունը,5.796
common_voice_hy-AM_26253080.wav,հինգ տարեկանում նա սկսել է դաշնամուր նվագել ռադիոյով երաժշտություն լսելով,8.28
common_voice_hy-AM_26253081.wav,իրանի բնակչության մեծամասնությունը էթնիկ պարսիկներ են,5.688
common_voice_hy-AM_26253082.wav,մայրն արգելում է նրան որէ բան ստանալ փոստով բոլորից բացի եղբորից,8.316
common_voice_hy-AM_26253089.wav,բնադրում է ինքնուրույն փորված ծառաբներում,5.94
common_voice_hy-AM_26253091.wav,պարսամեան յաճախ եղած է արդարութեան եւ պոռթկումի ձայնը,7.488
common_voice_hy-AM_26253092.wav,տղան դուրս չի գալիս կոմայից մահանում է,4.86
common_voice_hy-AM_26253099.wav,քաղաքին մէջ կայ նաւահանգիստ,4.716
common_voice_hy-AM_26253100.wav,բարիկադների վրա կռվում էին նա կանայք ու երեխաներ,6.768
common_voice_hy-AM_26253101.wav,երկրորդ երրորդ ցուցասրահներում հավաքված են քաղցրահամ ջրերի ձկներն ամբողջ աշխարհից,9.9
common_voice_hy-AM_26253102.wav,եթե կապ կա այն չպետք է կարել,4.608
common_voice_hy-AM_26253104.wav,կան նա այս պանրի ս սպիտակ տեսակները,5.688
common_voice_hy-AM_26253106.wav,դիմադրության տարիներին երգել է ազատության համար մարտնչող ժողովրդին,7.74
common_voice_hy-AM_26253108.wav,այդ փողոցներին ուղղահայաց երեք փողոցներ լրացնում են քաղաքի ճանապարհային ցանցը,8.568
common_voice_hy-AM_26253119.wav,եվ շատ ուրիշներ,3.42
common_voice_hy-AM_26253120.wav,իրանում հայերի հաստատումը դարավոր պատմություն ունի,5.436
common_voice_hy-AM_26253121.wav,շարթը բնության մարդկային բնավորությունների ձի ու լույսի վերարտադրման նուրբ վարպետ է,9.396
common_voice_hy-AM_26253122.wav,դրանցից ամենահիշարժանները կենտրոնի հայկական քարե շենքերն են,7.776
common_voice_hy-AM_26253123.wav,ամառը սկսվում է մայիսից,3.996
common_voice_hy-AM_26407610.wav,համարվում է հնդկական կինոյի ամենահայտնի դերասաններից,6.336
common_voice_hy-AM_26407611.wav,մշակում են բրինձ արքայախնձոր շաքարեղեգ բանան,7.38
common_voice_hy-AM_26407612.wav,մյուս երկու դահլիճները ավելի փոքր են,5.22
common_voice_hy-AM_26407613.wav,սակայն ոստիկանությունը մի օր հենց ներկայացման ժամանակ նրան ձերբակալում է թատրոնում,8.568
common_voice_hy-AM_26407614.wav,խումբը բաղկացած է յոթ աղջիկներից,4.68
common_voice_hy-AM_26407624.wav,ուղղաթիռի հնացած անվանումն է հելիկոպտեր,7.056
common_voice_hy-AM_26407625.wav,իր գրած լիբրետոներից ոչ մեկը չներառվեց մյուզիքլի մեջ,8.388
common_voice_hy-AM_26407626.wav,իտալիայում երկար ժամանակ քննարկում էին նրա տրանսֆերային արժեքը,7.776
common_voice_hy-AM_26407627.wav,կախված ծանրության աստիճանից ինսուլինը կարող է ներմուծվել ներերակային կամ ենթամաշկային,10.26
common_voice_hy-AM_26407628.wav,բադնիքն ուներ հայկական եկեղեցի,4.248
common_voice_hy-AM_26407635.wav,մի քանի անգամ քաղաքի վրա հարձակվել են օդից,5.436
common_voice_hy-AM_26407636.wav,պտուղները թունավոր են,3.456
common_voice_hy-AM_26407637.wav,հատուկ դպրոցում խորը ուսումնասիրել է գերմաներեն լեզու,6.66
common_voice_hy-AM_26407638.wav,կա կարծիք որ ծածանի արծաթագույն թեփուկները նոր տարում փող են բերում,8.1
common_voice_hy-AM_26407645.wav,իրականում սակայն մրցակցությունը հակակրանքը եղբայրների միջ չի դադարում,10.44
common_voice_hy-AM_26407646.wav,չեչնիայի սիրտ մզկիթը աշխարհի ամենամեծ մզկիթներից մեկն է,7.848
common_voice_hy-AM_26407648.wav,ախտանշանների խորացումը հաճախ արագ է լինում,5.436
common_voice_hy-AM_26423574.wav,նա պահվել է կալանքի տակ,4.14
common_voice_hy-AM_26423576.wav,երեք անգամ վիրավորվել է ապաքինվելուց հետո վերադարձել մարտադաշտ,6.948
common_voice_hy-AM_26423577.wav,կեանքին ընթացքին քանի մը անգամ բանտ կը նետուի,5.076
common_voice_hy-AM_26423578.wav,թեմայով կատարմամբ այն նկարչի լավագույն գործերից է,8.388
common_voice_hy-AM_26423628.wav,զոյգը ողջախոհ փաթաթուած է իրար,5.688
common_voice_hy-AM_26423630.wav,ցամաքային ենթատեսակները կղզիաբնակներէն մեծ են,6.048
common_voice_hy-AM_26423631.wav,զբաղվել է նա շինարարական գործունեությամբ,5.94
common_voice_hy-AM_26423632.wav,գյուղի տարածքում գտնվում են հին գյուղատեղիներ սրբատաշ քարերով եկեղեցի,9.648
common_voice_hy-AM_26423673.wav,հետագա դարաշրջաններում ս բազմիցս ենթարկվել են հարձակումների,8.388
common_voice_hy-AM_26423674.wav,քրիստոնեական եկեղեցիներում կենտրոնական աբսիդը կոչվում է ավագ խորան,7.848
common_voice_hy-AM_26423675.wav,միկասան կիսով չափ ասիացի է իր ռասայի վերջին ներկայացուցիչն է,7.236
common_voice_hy-AM_26423676.wav,այն տոնում են տարվա առաջին ամսվա առաջին նորալուսնի օրը,6.156
common_voice_hy-AM_26423778.wav,մեր ֆիլմերի հերոսները փոփոխվում են ժամանակի ընթացքում,5.94
common_voice_hy-AM_26423779.wav,եվ մի անգամ նրանք գտնում են միմյանց,4.176
common_voice_hy-AM_26423781.wav,այս լճի հետ կապված են բազմաթիվ ավանդություններ ու ժողովրդական զրույցներ,7.92
common_voice_hy-AM_26423782.wav,հայտնի է իր չափազանց բարձր հրաբխային ակտիվությամբ լավային լճերի ձավորմամբ,9.36
common_voice_hy-AM_26423818.wav,զանջան նահանգը հայտնի է իր անկորիզ խաղողներով,5.94
common_voice_hy-AM_26423819.wav,դրա հետ նվազում է տառերը տեսնելու ճանաչելու կարողությունը,7.128
common_voice_hy-AM_26423820.wav,ըստ պատրաստման ձի լինում են կարով անկար,7.2
common_voice_hy-AM_26423843.wav,նա չէր պատրաստվում զիջել ապստամբներին,6.048
common_voice_hy-AM_26423844.wav,շարունակությունն ընթացքի մեջ է,4.248
common_voice_hy-AM_26423845.wav,մարդկության պատմության նոր կամ նեոլիթ շրջանում նախամարդը արդեն բավականին զարգացել էր,9.396
common_voice_hy-AM_26423846.wav,մեծ մասամբ բաժանասեռ են,4.14
common_voice_hy-AM_26423847.wav,հատող փողոց չունի,3.06
common_voice_hy-AM_26423870.wav,այն օգտագործվում է լիվերի կողմից սկսած հին ժամանակներից,6.66
common_voice_hy-AM_26423872.wav,մեղուները ակտիվանում են գարնանը բնաորման հատկությունները հայտնի չեն,8.208
common_voice_hy-AM_26423892.wav,շուտով ընտանիքում ծնվել է նա տղա երեխա,4.86
common_voice_hy-AM_26423893.wav,ապա կը մասնակցի պատահական ներկայացումներու,5.328
common_voice_hy-AM_26423894.wav,սերժիպին ագրարային նահանգ է,4.176
common_voice_hy-AM_26423895.wav,նրանց ալբոմները սինգլներն իրար հետից հասնում էին մեծ հաջողությունների,8.676
common_voice_hy-AM_26423896.wav,միջփուլային լուսավոր շրջաններում հիվանդների աշխատունակությունը լրիվ պահպանվում է,9.288
common_voice_hy-AM_26428861.wav,ամասիոյ նահանգի վարչական կեդրոնն է,6.12
common_voice_hy-AM_26428862.wav,սուդանը նախագահական հանրապետություն է,6.084
common_voice_hy-AM_26428863.wav,նավի վրա խռովություն է բարձրանում,4.572
common_voice_hy-AM_26428864.wav,նույն թվականին հրատարակվել են նրա առաջին բանաստեղծությունները,7.56
common_voice_hy-AM_26428865.wav,երկու պատճառ կա անոթային փոփոխությունների զարգաման,6.948
common_voice_hy-AM_26428898.wav,ունի երկու հարկ ծածկված աղյուսե թաղով ամենավերին հարկը կամ տանիքը,9.252
common_voice_hy-AM_26428900.wav,այս գործերը շատ հեշտ են ընկալվում ոչ ճապոնացի հանդիսատեսի կողմից,9.288
common_voice_hy-AM_26428902.wav,տիրապետում է ֆրանսերենին գերմաներենին ուրդուին անգլերենին,7.992
common_voice_hy-AM_26428974.wav,պայմանները բարենպաստ են ջերմասեր բույսերի ծառատեսակների մշակման համար,10.08
common_voice_hy-AM_26428975.wav,ճակատները սվաղած չեն,4.788
common_voice_hy-AM_26428976.wav,վարակուողը պէտք չէ դպչի փամփշտիկներուն եւ պայթեցնէ զանոնք,8.604
common_voice_hy-AM_26428978.wav,կլավդիոսը ամուսնացած էր չորս անգամ,7.848
common_voice_hy-AM_26428979.wav,զոհվել է համառ դիմադրությունից հետո,5.112
common_voice_hy-AM_26428980.wav,նստակյաց թռչուն է որը բնադրում է հողի վրա,5.868
common_voice_hy-AM_26428981.wav,անդրադարձել է բանահյուսական ու պատմական թեմաների,6.516
common_voice_hy-AM_26428982.wav,համլիրի նախնական տեսքը չի պահպանվել,5.04
common_voice_hy-AM_26428983.wav,թանգարանում տեղի են ունենում պարբերական ցուցահանդեսներ,7.02
common_voice_hy-AM_26428984.wav,ստացվում է որ բժիշկը գործում է միջնորդների միջոցով,5.472
common_voice_hy-AM_26428985.wav,յառաջացած արմատներ չեն ունենար արմատները միայն կապահովեն բնակարանին վրայ կառչումը,10.044
common_voice_hy-AM_26428986.wav,արագիլի ձագերը լսելով երգը վախենում են սկսում ճվճվալ,7.956
common_voice_hy-AM_26428988.wav,բազմանիստերի համար նման պնդումը ճիշտ չէ,6.804
common_voice_hy-AM_26428990.wav,տերները հերթադիր են եռաբլթակ,5.184
common_voice_hy-AM_26428991.wav,դէմքը պարզ էր կարծես ոչ մի նօթ չարտայայտող,7.38
common_voice_hy-AM_26428993.wav,առիթմիաների շատ տիպեր ընթանում են անախտանիշ,7.128
common_voice_hy-AM_26428995.wav,պլուտոնին զոհաբերում էին խոշոր եղջերավոր անասուններ,7.776
common_voice_hy-AM_26428996.wav,օրը նուիրուած է պաիր բոլոր ոճերուն,6.012
common_voice_hy-AM_26428997.wav,զբաղած է հայկական զօրաբանակի կազմաւորումով,6.552
common_voice_hy-AM_26428998.wav,նա իր հետ վերցրել է խոզի տեսքով երաժշտական արկղ,8.172
common_voice_hy-AM_26634250.wav,մեկական անգամ նվաճել է ֆուտբոլի լիգայի գավաթները,8.748
common_voice_hy-AM_26634251.wav,աշխատում է չափվող տատանման պարբերությունների թվի հաշվման սկզբունքով,8.568
common_voice_hy-AM_26634252.wav,նրանք ունեին ցածր կարողություն թուլացած շարժիչներ,6.588
common_voice_hy-AM_26634253.wav,սկայորդի իշխանի որդին,4.32
common_voice_hy-AM_26634254.wav,նա նա թողարկել էր սինգլերի շապիկներըը,5.796
common_voice_hy-AM_26782935.wav,նավի վրա բացակայում են բժիշկը կուպերը տակառագործ,8.208
common_voice_hy-AM_26782936.wav,ուսման վարձը վճարելու համար նա մատուցող է աշխատել,5.868
common_voice_hy-AM_26782938.wav,հին ժամանակներում այս տեղը զբաղեցնում էր կարոր ռազմավարական դիրք,7.956
common_voice_hy-AM_26783025.wav,ավարտել է ռազմական ուսումնարանը ստանալով ենթասպայի աստիճան,7.416
common_voice_hy-AM_26783026.wav,նա երկու երեխա է մեծացնում,3.6
common_voice_hy-AM_26783028.wav,հայրը ուներ գերմանական արմատներ մայրը նորվեգական,6.516
common_voice_hy-AM_26783029.wav,ազոտային պարարտանյութերը հիմնականում ստանում են սինթետիկ ամոնիակից,10.368
common_voice_hy-AM_26783115.wav,գիրքը լայն արձագանք է գտել բազմիցս քննադատվել,7.488
common_voice_hy-AM_26783116.wav,տոմսի գները կախված է մրցաշարի փուլից,5.58
common_voice_hy-AM_26783117.wav,շենքն ունի հարկերի մեջ գտնվող քիվեր կիսաշրջանաձ պատուհաններ,7.596
common_voice_hy-AM_26783118.wav,բնակչության զբաղվածության կառուցվածքը,6.516
common_voice_hy-AM_26783119.wav,կեղը սովորաբար ունի կարմրավուն գույն միջուկը գունատ դեղին,9.72
common_voice_hy-AM_26783219.wav,հաճախ պատկերվում է առատության եղջյուրով,5.796
common_voice_hy-AM_26783221.wav,քաղաքի հայկական թաղամասը պաշարված է քրդերի կողմից,5.616
common_voice_hy-AM_26783222.wav,խիստ չորասեր է,3.636
common_voice_hy-AM_26783280.wav,համարվում է առաջին էլեկտրական ժամացույցի հայտնագործողը,6.336
common_voice_hy-AM_26783281.wav,միջին մեծության կամ խոշոր ճանճեր են արտաքին տեսքով նման կրետներին մեղուներին,7.668
common_voice_hy-AM_26783282.wav,ջորջը նրանց իր հետ տուն է տարել,4.608
common_voice_hy-AM_26783283.wav,ծաղկում է մայիս ամսին պտղակալում հունիսին,6.3
common_voice_hy-AM_26783285.wav,եղել է շրջանային թերթի թղթակից,4.5
common_voice_hy-AM_26827385.wav,պարանոցի մոտ կա բաժանարար գիծ,4.86
common_voice_hy-AM_26827391.wav,հյուսիսային բեռը նա չի առնչվում որէ ժամային գոտու,7.848
common_voice_hy-AM_26827394.wav,տինքի գործունէութիւնը կրճատուած է ինչպէս չորրորդ ճանապարհի հայելին,8.316
common_voice_hy-AM_26827396.wav,հատակը պատված է մարմարով,3.78
common_voice_hy-AM_26827494.wav,անկիլոստոմոզի հարուցիչն է,4.14
common_voice_hy-AM_26827500.wav,քամիների առավելագույն արագությունը դիտվում է ձմռանը,8.208
common_voice_hy-AM_26827532.wav,առաջիններից մեկն է եղել որ լրատվական ռեպորտաժներ է վարել հեռուստատեսությունում,10.44
common_voice_hy-AM_26827573.wav,շատ փաստաթղթեր կան որոնք հաստատում են այս իրադարձությունների ճշմարտացիությունը,9.252
common_voice_hy-AM_26827574.wav,նա ընտանիքի չորս երեխաներից ավագն էր միակ որդին,6.012
common_voice_hy-AM_26827577.wav,բնակիչները զբաղվում են հացահատիկի մշակությամբ բանջարաբուծությամբ անասնապահությամբ,9.216
common_voice_hy-AM_26827648.wav,մտածողության հոգեբանական իմացաբանական հարցերի լուծման նոր ուղղության հիմնադիր,9.396
common_voice_hy-AM_26827649.wav,մարտում հիմնականում գործում է հրետանային դիվիզիոնի կազմում,7.452
common_voice_hy-AM_26827650.wav,նա օգտատեր է,3.6
common_voice_hy-AM_26827652.wav,հիմնական ճակատը պահպանվեց վերականգնվեց,5.256
common_voice_hy-AM_26885807.wav,հիպոկրենայի աղբյուրը բանաստեղծների համար ծառայել է որպես ոգեշնչման աղբյուր,8.424
common_voice_hy-AM_26885808.wav,պահպանվել է որոշ վարդյակների ու մույթերի խոյակների վրա կարմիր ներկը,8.1
common_voice_hy-AM_26885809.wav,հինգհարկանի տունը կառուցվել է վիեննական մոդեռնի ոճով,7.164
common_voice_hy-AM_26885976.wav,մարուսյան նորից հիվանդանում է կյանքի բոլոր խնդիրներից,7.164
common_voice_hy-AM_26885977.wav,իր նախնիները անհայտ են հավանաբար նա եղել է ասորեստանյան դրածոն,8.928
common_voice_hy-AM_26885983.wav,իսկ այդ հանցագործությունը վտանգի տակ է դնում ողջ մոլորակը,7.38
common_voice_hy-AM_26885984.wav,բակալավրի ծրագրերը դասավանդվում են ֆիններեն շվեդերեն,7.596
common_voice_hy-AM_26885996.wav,առաջին կրթությամբ ճարտարապետ է,3.888
common_voice_hy-AM_26885997.wav,այս միջադեպերից հետո տանիքի այդ հատվածը ցանկապատվեց,6.12
common_voice_hy-AM_26891102.wav,նա հայտնի է հիմնականում որպես դրամատուրգ,4.788
common_voice_hy-AM_26891103.wav,կը պատկանի հնդեւրոպական լեզուաընտանիքին,7.884
common_voice_hy-AM_26891104.wav,առաջին երգերը գրել է դպրոցական տարիներին,5.904
common_voice_hy-AM_26891110.wav,մոտորաշինության բնագավառում կատարել է գիտական ներդրումներ,7.092
common_voice_hy-AM_26891111.wav,թիֆլիսում բանվորները գործադուլ հայտարարեցին,5.364
common_voice_hy-AM_26891112.wav,ջերմաստիճանային ցուցանակները տարբերվում են միատեսակ ռեպերային կետերի համար ընդունված թվային արժեքներով,10.476
common_voice_hy-AM_26891113.wav,միջնաբերդը գրավում է ամրոցի առավել գերիշխող ու ավելի լավ պաշտպանված մասը,7.992
common_voice_hy-AM_26891127.wav,կորտեզեն ունի իտալական ֆլամանդյան ֆրանսիական արմատներ,7.56
common_voice_hy-AM_26891128.wav,այդ իրավունքը հսկվու է կառավարության կողմից,5.328
common_voice_hy-AM_26891145.wav,պարսիկների պատկերացմամբ կնոջ կերպարանքով ժանտատեսիլ կենդանիներ են ըստ վրացիների անտառային ոգի,10.152
common_voice_hy-AM_26891146.wav,տաճարն ուներ քառասյուն նախասրահներով երեք մուտք,6.336
common_voice_hy-AM_26891147.wav,ուստի օսմանցիները շուտով սկսեցին տեղաբնկիների պես հողագործությամբ զբաղվել,9.684
common_voice_hy-AM_26891148.wav,լանջերը ծածկված են հաճարենու կաղնու անտառներով գագաթները լեռնային մարգագետիններով,10.08
common_voice_hy-AM_26891155.wav,շինությունը կազմված է երեք ամուր պատերով սենյակներից,6.336
common_voice_hy-AM_26891157.wav,մշակույթ եզրույթը հենց ֆրանսիական ծագում ունի,7.02
common_voice_hy-AM_26891159.wav,գեորգիի նախնիները գրել են ռուսական առաջին սղագրությունները,7.56
common_voice_hy-AM_26927022.wav,ձգվում է զուգահեռականի ուղղությամբ,5.112
common_voice_hy-AM_26927024.wav,վերջիններս պատանդ էին վերցրել երկու թիկնապահի,6.876
common_voice_hy-AM_26927025.wav,իվանչենկոն նախնական կալանքի կենտրոնում պահվում էր մենակատարման մեջ,7.272
common_voice_hy-AM_26927065.wav,եթե դրանք շարքից դուրս են գալիս ապա փոխարինվում են,5.94
common_voice_hy-AM_26927066.wav,սակայն միանշանակ ունիվերսալ լուծումներ դեռ չկան,6.228
common_voice_hy-AM_26927068.wav,այս ծրագրերը կարող էին խլել ժամեր անգամ շաբաթներ աշխատելու համար,7.02
common_voice_hy-AM_26927069.wav,սակայն մեկ մրցաշրջան չանկցացնելով նա ակումբից հեռանում է ֆինանսական խնդիրների պատճառով,9.576
common_voice_hy-AM_26927100.wav,նիլկեսի դուստր աշակերտուհի դիցաբանական ժանրական տեսարանների նկարչուհի,9.432
common_voice_hy-AM_26927102.wav,կրածինը հիմնական կարեւորութիւն ունի մեր մարմինի առողջութեան եւ գործունէութեան պահմանման համար,9.684
