path,sentence
common_voice_hy-AM_26099989.wav,"Բյուզանդացիները աջակցեցին իշխանին, սակայն պարտություն կրեցին։"
common_voice_hy-AM_26099990.wav,"Զբաղվում էին հողագործությամբ, այգեգործությամբ և անասնապահությամբ։"
common_voice_hy-AM_26100021.wav,Դրա արդյունքներով վճարումների գումարը կազմել Է մեկուկես միլիարդ դոլար։
common_voice_hy-AM_26100022.wav,Սպիտակավիզ արագիլը հանդիպում է զույգերով կամ փոքր խմբերով ջրային տարածքների մոտ։
common_voice_hy-AM_26100023.wav,Ստեղծագործել սկսել է վաղ տարիքից։
common_voice_hy-AM_26100024.wav,Լեռնաշղթաները սովորաբար անվանում են բլուրներ կամ լեռներ՝ կախված չափից։
common_voice_hy-AM_26100025.wav,Երգը բազում անգամներ հայտնվում է գրքերում և սերիաներում։
common_voice_hy-AM_26100200.wav,Քաղցրահամ է և սառնորակ ջուր ունի։
common_voice_hy-AM_26100201.wav,Սնվում է բույսի արմատներով։
common_voice_hy-AM_26100204.wav,Առաջին համաշխարհային պատերազմի ժամանակ խփել է թշնամու ինը օդանավ։
common_voice_hy-AM_26185054.wav,Սովորել է տեղի միջնակարգ դպրոցում։
common_voice_hy-AM_26185055.wav,"Հազվադեպ է լինում, որ միայն մեկ աչքն է տուժում։"
common_voice_hy-AM_26185056.wav,"Պապիկը հանքային ինժեներ է, ինչպես նաև ռազմական օդաչու։"
common_voice_hy-AM_26185057.wav,Այդ պատճառով համայնքը դժվարությամբ է կազմակերպում գյուղմթերքների արտադրությունը։
common_voice_hy-AM_26185058.wav,Տղայի ստացած առաջին կրթությունը եղել է պապիկի հսկայական գրադարանի գրքերի ընթերցումը։
common_voice_hy-AM_26185100.wav,"Այդ նկարներից մի քանիսը, նույնիսկ անցել են նյարդաբանության դասագրքեր։"
common_voice_hy-AM_26185101.wav,Բենի խաղը նկատվել է քննադատների կողմից և արժանացել է լավ կարծիքների։
common_voice_hy-AM_26185102.wav,Ակումբի հիմնադրման հստակ տարեթիվը հայտնի չէ։
common_voice_hy-AM_26185103.wav,Նա ինքը նկարագրել է այդ հրավերը հավաքական «մեծ անակնկալ»։
common_voice_hy-AM_26185157.wav,Լինում են նաև եկեղեցու անունը կրող սրբի պատկերով խաչվառներ։
common_voice_hy-AM_26185158.wav,Սահմանի հակառակ կողմում նույն պատկերն է։
common_voice_hy-AM_26185159.wav,Այդ պատճառով նրանք փորձում էին անցյալը բերել իրենց ժամանակաշրջանի պատմության մեջ։
common_voice_hy-AM_26185160.wav,Խումբն ելույթ է ունենալու երգի անգլերեն տարբերակով։
common_voice_hy-AM_26185161.wav,Մուրադը երկար ժամանակ գտնվում էր իր հարազատների հսկողության տակ։
common_voice_hy-AM_26185168.wav,Այս օրինակը ցույց է տալիս թեգն ընտրելու երկու տարբեր մեթոդ։
common_voice_hy-AM_26185171.wav,Այն մեծ պահանջարկ ուներ հարևան շրջաններում։
common_voice_hy-AM_26185172.wav,Երբեմն նույնացվում են վիճակի երգերի հետ։
common_voice_hy-AM_26185173.wav,Ադրբեջանի ժողովրդական նկարիչ։
common_voice_hy-AM_26185174.wav,"Եվ մայրը, և հայրը ոստիկանության աշխատակիցներ էին։"
common_voice_hy-AM_26185175.wav,Նրա ժամանակ աշխարհագրությունը գիտական տեսակետից գտնվել է անբավարար վիճակում։
common_voice_hy-AM_26185176.wav,"Հետագայում նա հրաժարվում է բացատրել, թե ինչպես է արել այդ ամենը։"
common_voice_hy-AM_26185208.wav,Մորգանը այդ ժամանակներից մինչև այսօր խաղում է կենտրոնական պաշտպանի դիրքում։
common_voice_hy-AM_26185209.wav,Խաղալով կատուն և երեխաները իրերը վերադարձնում են իրենց տեղը։
common_voice_hy-AM_26185210.wav,"Անկախ նրանից, թե որտեղ ես դու, ես քո տանն եմ։"
common_voice_hy-AM_26185211.wav,Եկեղեցին գտնվում է գյուղի կենտրոնում։
common_voice_hy-AM_26185212.wav,Շատ քննադատներ ջերմորեն ողջունեցին սերիայի չորրորդ գիրքը։
common_voice_hy-AM_26253023.wav,Իսկ բուսականութեան եւ կենդանական համակարգային ընթացքը կ՛աշխուժանայ։
common_voice_hy-AM_26253024.wav,Նրանք իրենց օրերն անցկացնում են ծաղկած այգում և դառնում անբաժան ընկերներ։
common_voice_hy-AM_26253025.wav,Սովետական սահմանապահի մոտ եկել էր հարսնացուն։
common_voice_hy-AM_26253026.wav,Հեղինակի գրքերի հիմնական ընթերցողները կանայք են։
common_voice_hy-AM_26253027.wav,Աստվածաշնչում ասորի մասին հիշատակվում է երեք անգամ։
common_voice_hy-AM_26253033.wav,Անվան նշանակությունը վիճելի է։
common_voice_hy-AM_26253035.wav,Նրանք ապաստան են գտնում ձկնորսական հյուղակում և ստիպված էին սպասել այնտեղ։
common_voice_hy-AM_26253037.wav,Մայր գետին միանալուց առաջ անցնում է համանուն գետի մոտով։
common_voice_hy-AM_26253039.wav,"Հազվադեպ է գործածվել, այնուհետև ընդհանրապես դուրս է եկել գործածությունից։"
common_voice_hy-AM_26253053.wav,Նրանք իրարից հիմնականում տարբերվում են չափսով։
common_voice_hy-AM_26253054.wav,Նրանց հարաբերությունները կարծես մտել են փակուղի։
common_voice_hy-AM_26253068.wav,Նախնական կրթությունը ստացել է գյուղի դպրոցում։
common_voice_hy-AM_26253069.wav,Այդ ելույթներից հետո ամբաստանյալները նրան դավաճան են հայտարարել։
common_voice_hy-AM_26253070.wav,Թողարկվել են հուշադրամներ թանկարժեք ու ոչ թանկարժեք մետաղներից։
common_voice_hy-AM_26253071.wav,Սկզբում հեղինակն այս գիրքը գրել էր իր երեխաների համար։
common_voice_hy-AM_26253072.wav,"Այն մատուցում են ոչ մեծ բաժակներով, հաճախ սուրճի հետ։"
common_voice_hy-AM_26253078.wav,Կոչվել է ներկայում գոյություն չունեցող գետակի անունով։
common_voice_hy-AM_26253079.wav,Դրան սկիզբ դրեց կաշվի գործարանի շինարարությունը։
common_voice_hy-AM_26253080.wav,Հինգ տարեկանում նա սկսել է դաշնամուր նվագել՝ ռադիոյով երաժշտություն լսելով։
common_voice_hy-AM_26253081.wav,Իրանի բնակչության մեծամասնությունը էթնիկ պարսիկներ են։
common_voice_hy-AM_26253082.wav,"Մայրն արգելում է նրան որևէ բան ստանալ փոստով բոլորից, բացի եղբորից։"
common_voice_hy-AM_26253089.wav,Բնադրում է ինքնուրույն փորված ծառաբներում։
common_voice_hy-AM_26253091.wav,Պարսամեան յաճախ եղած է արդարութեան եւ պոռթկումի ձայնը։
common_voice_hy-AM_26253092.wav,Տղան դուրս չի գալիս կոմայից և մահանում է։
common_voice_hy-AM_26253099.wav,Քաղաքին մէջ կայ նաւահանգիստ։
common_voice_hy-AM_26253100.wav,Բարիկադների վրա կռվում էին նաև կանայք ու երեխաներ։
common_voice_hy-AM_26253101.wav,Երկրորդ և երրորդ ցուցասրահներում հավաքված են քաղցրահամ ջրերի ձկներն ամբողջ աշխարհից։
common_voice_hy-AM_26253102.wav,"Եթե կապ կա, այն չպետք է կարել։"
common_voice_hy-AM_26253104.wav,Կան նաև այս պանրի սև և սպիտակ տեսակները։
common_voice_hy-AM_26253106.wav,Դիմադրության տարիներին երգել է ազատության համար մարտնչող ժողովրդին։
common_voice_hy-AM_26253108.wav,Այդ փողոցներին ուղղահայաց երեք փողոցներ լրացնում են քաղաքի ճանապարհային ցանցը։
common_voice_hy-AM_26253119.wav,Եվ շատ ուրիշներ։
common_voice_hy-AM_26253120.wav,Իրանում հայերի հաստատումը դարավոր պատմություն ունի։
common_voice_hy-AM_26253121.wav,"Շարթը բնության մարդկային բնավորությունների, ձևի ու լույսի վերարտադրման նուրբ վարպետ է։"
common_voice_hy-AM_26253122.wav,Դրանցից ամենահիշարժանները կենտրոնի հայկական քարե շենքերն են։
common_voice_hy-AM_26253123.wav,Ամառը սկսվում է մայիսից։
common_voice_hy-AM_26407610.wav,Համարվում է հնդկական կինոյի ամենահայտնի դերասաններից։
common_voice_hy-AM_26407611.wav,"Մշակում են բրինձ, արքայախնձոր, շաքարեղեգ, բանան։"
common_voice_hy-AM_26407612.wav,Մյուս երկու դահլիճները ավելի փոքր են։
common_voice_hy-AM_26407613.wav,"Սակայն, ոստիկանությունը մի օր, հենց ներկայացման ժամանակ, նրան ձերբակալում է թատրոնում։"
common_voice_hy-AM_26407614.wav,Խումբը բաղկացած է յոթ աղջիկներից։
common_voice_hy-AM_26407624.wav,Ուղղաթիռի հնացած անվանումն է հելիկոպտեր։
common_voice_hy-AM_26407625.wav,Իր գրած լիբրետոներից ոչ մեկը չներառվեց մյուզիքլի մեջ։
common_voice_hy-AM_26407626.wav,Իտալիայում երկար ժամանակ քննարկում էին նրա տրանսֆերային արժեքը։
common_voice_hy-AM_26407627.wav,Կախված ծանրության աստիճանից ինսուլինը կարող է ներմուծվել ներերակային կամ ենթամաշկային։
common_voice_hy-AM_26407628.wav,Բադնիքն ուներ հայկական եկեղեցի։
common_voice_hy-AM_26407635.wav,Մի քանի անգամ քաղաքի վրա հարձակվել են օդից։
common_voice_hy-AM_26407636.wav,Պտուղները թունավոր են։
common_voice_hy-AM_26407637.wav,Հատուկ դպրոցում խորը ուսումնասիրել է գերմաներեն լեզու։
common_voice_hy-AM_26407638.wav,"Կա կարծիք, որ ծածանի արծաթագույն թեփուկները նոր տարում փող են բերում։"
common_voice_hy-AM_26407645.wav,"Իրականում, սակայն, մրցակցությունը և հակակրանքը եղբայրների միջև չի դադարում։"
common_voice_hy-AM_26407646.wav,«Չեչնիայի սիրտ» մզկիթը աշխարհի ամենամեծ մզկիթներից մեկն է։
common_voice_hy-AM_26407648.wav,Ախտանշանների խորացումը հաճախ արագ է լինում։
common_voice_hy-AM_26423574.wav,Նա պահվել է կալանքի տակ։
common_voice_hy-AM_26423576.wav,"Երեք անգամ վիրավորվել է, ապաքինվելուց հետո վերադարձել մարտադաշտ։"
common_voice_hy-AM_26423577.wav,Կեանքին ընթացքին քանի մը անգամ բանտ կը նետուի։
common_voice_hy-AM_26423578.wav,Թեմայով և կատարմամբ այն նկարչի լավագույն գործերից է։
common_voice_hy-AM_26423628.wav,Զոյգը ողջախոհ փաթաթուած է իրար։
common_voice_hy-AM_26423630.wav,Ցամաքային ենթատեսակները կղզիաբնակներէն մեծ են։
common_voice_hy-AM_26423631.wav,Զբաղվել է նաև շինարարական գործունեությամբ։
common_voice_hy-AM_26423632.wav,"Գյուղի տարածքում գտնվում են հին գյուղատեղիներ, սրբատաշ քարերով եկեղեցի։"
common_voice_hy-AM_26423673.wav,Հետագա դարաշրջաններում ևս բազմիցս ենթարկվել են հարձակումների։
common_voice_hy-AM_26423674.wav,Քրիստոնեական եկեղեցիներում կենտրոնական աբսիդը կոչվում է ավագ խորան։
common_voice_hy-AM_26423675.wav,Միկասան կիսով չափ ասիացի է և իր ռասայի վերջին ներկայացուցիչն է։
common_voice_hy-AM_26423676.wav,Այն տոնում են տարվա առաջին ամսվա առաջին նորալուսնի օրը։
common_voice_hy-AM_26423778.wav,Մեր ֆիլմերի հերոսները փոփոխվում են ժամանակի ընթացքում։
common_voice_hy-AM_26423779.wav,Եվ մի անգամ նրանք գտնում են միմյանց։
common_voice_hy-AM_26423781.wav,Այս լճի հետ կապված են բազմաթիվ ավանդություններ ու ժողովրդական զրույցներ։
common_voice_hy-AM_26423782.wav,Հայտնի է իր չափազանց բարձր հրաբխային ակտիվությամբ և լավային լճերի ձևավորմամբ։
common_voice_hy-AM_26423818.wav,Զանջան նահանգը հայտնի է իր անկորիզ խաղողներով։
common_voice_hy-AM_26423819.wav,Դրա հետ նվազում է տառերը տեսնելու և ճանաչելու կարողությունը։
common_voice_hy-AM_26423820.wav,Ըստ պատրաստման ձևի լինում են կարով և անկար։
common_voice_hy-AM_26423843.wav,Նա չէր պատրաստվում զիջել ապստամբներին։
common_voice_hy-AM_26423844.wav,Շարունակությունն ընթացքի մեջ է։
common_voice_hy-AM_26423845.wav,Մարդկության պատմության նոր կամ նեոլիթ շրջանում նախամարդը արդեն բավականին զարգացել էր։
common_voice_hy-AM_26423846.wav,Մեծ մասամբ բաժանասեռ են։
common_voice_hy-AM_26423847.wav,Հատող փողոց չունի։
common_voice_hy-AM_26423870.wav,Այն օգտագործվում է լիվերի կողմից սկսած հին ժամանակներից։
common_voice_hy-AM_26423872.wav,"Մեղուները ակտիվանում են գարնանը, բնաորման հատկությունները հայտնի չեն։"
common_voice_hy-AM_26423892.wav,Շուտով ընտանիքում ծնվել է նաև տղա երեխա։
common_voice_hy-AM_26423893.wav,Ապա կը մասնակցի պատահական ներկայացումներու։
common_voice_hy-AM_26423894.wav,Սերժիպին ագրարային նահանգ է։
common_voice_hy-AM_26423895.wav,Նրանց ալբոմները և սինգլներն իրար հետևից հասնում էին մեծ հաջողությունների։
common_voice_hy-AM_26423896.wav,Միջփուլային լուսավոր շրջաններում հիվանդների աշխատունակությունը լրիվ պահպանվում է։
common_voice_hy-AM_26428861.wav,Ամասիոյ նահանգի վարչական կեդրոնն է։
common_voice_hy-AM_26428862.wav,Սուդանը նախագահական հանրապետություն է։
common_voice_hy-AM_26428863.wav,Նավի վրա խռովություն է բարձրանում։
common_voice_hy-AM_26428864.wav,Նույն թվականին հրատարակվել են նրա առաջին բանաստեղծությունները։
common_voice_hy-AM_26428865.wav,Երկու պատճառ կա անոթային փոփոխությունների զարգաման։
common_voice_hy-AM_26428898.wav,Ունի երկու հարկ՝ ծածկված աղյուսե թաղով և ամենավերին հարկը կամ տանիքը։
common_voice_hy-AM_26428900.wav,Այս գործերը շատ հեշտ են ընկալվում ոչ ճապոնացի հանդիսատեսի կողմից։
common_voice_hy-AM_26428902.wav,"Տիրապետում է ֆրանսերենին, գերմաներենին, ուրդուին և անգլերենին։"
common_voice_hy-AM_26428974.wav,Պայմանները բարենպաստ են ջերմասեր բույսերի և ծառատեսակների մշակման համար։
common_voice_hy-AM_26428975.wav,Ճակատները սվաղած չեն։
common_voice_hy-AM_26428976.wav,Վարակուողը պէտք չէ դպչի փամփշտիկներուն եւ պայթեցնէ զանոնք։
common_voice_hy-AM_26428978.wav,Կլավդիոսը ամուսնացած էր չորս անգամ։
common_voice_hy-AM_26428979.wav,Զոհվել է համառ դիմադրությունից հետո։
common_voice_hy-AM_26428980.wav,"Նստակյաց թռչուն է, որը բնադրում է հողի վրա։"
common_voice_hy-AM_26428981.wav,Անդրադարձել է բանահյուսական ու պատմական թեմաների։
common_voice_hy-AM_26428982.wav,Համլիրի նախնական տեսքը չի պահպանվել։
common_voice_hy-AM_26428983.wav,Թանգարանում տեղի են ունենում պարբերական ցուցահանդեսներ։
common_voice_hy-AM_26428984.wav,"Ստացվում է, որ բժիշկը գործում է միջնորդների միջոցով։"
common_voice_hy-AM_26428985.wav,"Յառաջացած արմատներ չեն ունենար, արմատները միայն կ՚ապահովեն բնակարանին վրայ կառչումը։"
common_voice_hy-AM_26428986.wav,"Արագիլի ձագերը լսելով երգը, վախենում են և սկսում ճվճվալ։"
common_voice_hy-AM_26428988.wav,Բազմանիստերի համար նման պնդումը ճիշտ չէ։
common_voice_hy-AM_26428990.wav,"Տերևները հերթադիր են, եռաբլթակ։"
common_voice_hy-AM_26428991.wav,"Դէմքը պարզ էր, կարծես ոչ մի նօթ չարտայայտող։"
common_voice_hy-AM_26428993.wav,Առիթմիաների շատ տիպեր ընթանում են անախտանիշ։
common_voice_hy-AM_26428995.wav,Պլուտոնին զոհաբերում էին խոշոր եղջերավոր անասուններ։
common_voice_hy-AM_26428996.wav,Օրը նուիրուած է պաիր բոլոր ոճերուն։
common_voice_hy-AM_26428997.wav,Զբաղած է հայկական զօրաբանակի կազմաւորումով։
common_voice_hy-AM_26428998.wav,Նա իր հետ վերցրել է խոզի տեսքով երաժշտական արկղ։
common_voice_hy-AM_26634250.wav,Մեկական անգամ նվաճել է ֆուտբոլի և լիգայի գավաթները։
common_voice_hy-AM_26634251.wav,Աշխատում է չափվող տատանման պարբերությունների թվի հաշվման սկզբունքով։
common_voice_hy-AM_26634252.wav,Նրանք ունեին ցածր կարողություն և թուլացած շարժիչներ։
common_voice_hy-AM_26634253.wav,Սկայորդի իշխանի որդին։
common_voice_hy-AM_26634254.wav,Նա նաև թողարկել էր սինգլերի շապիկներըը։
common_voice_hy-AM_26782935.wav,Նավի վրա բացակայում են բժիշկը և կուպերը (տակառագործ)։
common_voice_hy-AM_26782936.wav,Ուսման վարձը վճարելու համար նա մատուցող է աշխատել։
common_voice_hy-AM_26782938.wav,Հին ժամանակներում այս տեղը զբաղեցնում էր կարևոր ռազմավարական դիրք։
common_voice_hy-AM_26783025.wav,Ավարտել է ռազմական ուսումնարանը ստանալով ենթասպայի աստիճան։
common_voice_hy-AM_26783026.wav,Նա երկու երեխա է մեծացնում։
common_voice_hy-AM_26783028.wav,"Հայրը ուներ գերմանական արմատներ, մայրը՝ նորվեգական։"
common_voice_hy-AM_26783029.wav,Ազոտային պարարտանյութերը հիմնականում ստանում են սինթետիկ ամոնիակից։
common_voice_hy-AM_26783115.wav,Գիրքը լայն արձագանք է գտել և բազմիցս քննադատվել։
common_voice_hy-AM_26783116.wav,Տոմսի գները կախված է մրցաշարի փուլից։
common_voice_hy-AM_26783117.wav,"Շենքն ունի հարկերի մեջ գտնվող քիվեր, կիսաշրջանաձև պատուհաններ։"
common_voice_hy-AM_26783118.wav,Բնակչության զբաղվածության կառուցվածքը։
common_voice_hy-AM_26783119.wav,"Կեղևը սովորաբար ունի կարմրավուն գույն, միջուկը՝ գունատ դեղին։"
common_voice_hy-AM_26783219.wav,Հաճախ պատկերվում է առատության եղջյուրով։
common_voice_hy-AM_26783221.wav,Քաղաքի հայկական թաղամասը պաշարված է քրդերի կողմից։
common_voice_hy-AM_26783222.wav,Խիստ չորասեր է։
common_voice_hy-AM_26783280.wav,Համարվում է առաջին էլեկտրական ժամացույցի հայտնագործողը։
common_voice_hy-AM_26783281.wav,"Միջին մեծության կամ խոշոր ճանճեր են, արտաքին տեսքով՝ նման կրետներին, մեղուներին։"
common_voice_hy-AM_26783282.wav,Ջորջը նրանց իր հետ տուն է տարել։
common_voice_hy-AM_26783283.wav,"Ծաղկում է մայիս ամսին, պտղակալում՝ հունիսին։"
common_voice_hy-AM_26783285.wav,Եղել է շրջանային թերթի թղթակից։
common_voice_hy-AM_26827385.wav,Պարանոցի մոտ կա բաժանարար գիծ։
common_voice_hy-AM_26827391.wav,Հյուսիսային բևեռը նաև չի առնչվում որևէ ժամային գոտու։
common_voice_hy-AM_26827394.wav,"Տինքի գործունէութիւնը կրճատուած է, ինչպէս «չորրորդ ճանապարհի հայելին»։"
common_voice_hy-AM_26827396.wav,Հատակը պատված է մարմարով։
common_voice_hy-AM_26827494.wav,Անկիլոստոմոզի հարուցիչն է։
common_voice_hy-AM_26827500.wav,Քամիների առավելագույն արագությունը դիտվում է ձմռանը։
common_voice_hy-AM_26827532.wav,"Առաջիններից մեկն է եղել, որ լրատվական ռեպորտաժներ է վարել հեռուստատեսությունում։"
common_voice_hy-AM_26827573.wav,"Շատ փաստաթղթեր կան, որոնք հաստատում են այս իրադարձությունների ճշմարտացիությունը։"
common_voice_hy-AM_26827574.wav,Նա ընտանիքի չորս երեխաներից ավագն էր և միակ որդին։
common_voice_hy-AM_26827577.wav,"Բնակիչները զբաղվում են հացահատիկի մշակությամբ, բանջարաբուծությամբ և անասնապահությամբ։"
common_voice_hy-AM_26827648.wav,Մտածողության հոգեբանական և իմացաբանական հարցերի լուծման նոր ուղղության հիմնադիր։
common_voice_hy-AM_26827649.wav,Մարտում հիմնականում գործում է հրետանային դիվիզիոնի կազմում։
common_voice_hy-AM_26827650.wav,Նա օգտատեր է։
common_voice_hy-AM_26827652.wav,Հիմնական ճակատը պահպանվեց և վերականգնվեց։
common_voice_hy-AM_26885807.wav,"Հիպոկրենայի աղբյուրը բանաստեղծների համար ծառայել է, որպես ոգեշնչման աղբյուր։"
common_voice_hy-AM_26885808.wav,Պահպանվել է որոշ վարդյակների ու մույթերի խոյակների վրա կարմիր ներկը։
common_voice_hy-AM_26885809.wav,Հինգհարկանի տունը կառուցվել է վիեննական մոդեռնի ոճով։
common_voice_hy-AM_26885976.wav,Մարուսյան նորից հիվանդանում է կյանքի բոլոր խնդիրներից։
common_voice_hy-AM_26885977.wav,"Իր նախնիները անհայտ են, հավանաբար, նա եղել է ասորեստանյան դրածոն։"
common_voice_hy-AM_26885983.wav,Իսկ այդ հանցագործությունը վտանգի տակ է դնում ողջ մոլորակը։
common_voice_hy-AM_26885984.wav,Բակալավրի ծրագրերը դասավանդվում են ֆիններեն և շվեդերեն։
common_voice_hy-AM_26885996.wav,Առաջին կրթությամբ ճարտարապետ է։
common_voice_hy-AM_26885997.wav,Այս միջադեպերից հետո տանիքի այդ հատվածը ցանկապատվեց։
common_voice_hy-AM_26891102.wav,Նա հայտնի է հիմնականում որպես դրամատուրգ։
common_voice_hy-AM_26891103.wav,Կը պատկանի հնդեւրոպական լեզուաընտանիքին։
common_voice_hy-AM_26891104.wav,Առաջին երգերը գրել է դպրոցական տարիներին։
common_voice_hy-AM_26891110.wav,Մոտորաշինության բնագավառում կատարել է գիտական ներդրումներ։
common_voice_hy-AM_26891111.wav,Թիֆլիսում բանվորները գործադուլ հայտարարեցին։
common_voice_hy-AM_26891112.wav,Ջերմաստիճանային ցուցանակները տարբերվում են միատեսակ ռեպերային կետերի համար ընդունված թվային արժեքներով։
common_voice_hy-AM_26891113.wav,Միջնաբերդը գրավում է ամրոցի առավել գերիշխող ու ավելի լավ պաշտպանված մասը։
common_voice_hy-AM_26891127.wav,"Կորտեզեն ունի իտալական, ֆլամանդյան և ֆրանսիական արմատներ։"
common_voice_hy-AM_26891128.wav,Այդ իրավունքը հսկվու է կառավարության կողմից։
common_voice_hy-AM_26891145.wav,"Պարսիկների պատկերացմամբ՝ կնոջ կերպարանքով ժանտատեսիլ կենդանիներ են, ըստ վրացիների՝ անտառային ոգի։"
common_voice_hy-AM_26891146.wav,Տաճարն ուներ քառասյուն նախասրահներով երեք մուտք։
common_voice_hy-AM_26891147.wav,"Ուստի, օսմանցիները շուտով սկսեցին տեղաբնկիների պես հողագործությամբ զբաղվել։"
common_voice_hy-AM_26891148.wav,"Լանջերը ծածկված են հաճարենու և կաղնու անտառներով, գագաթները՝ լեռնային մարգագետիններով։"
common_voice_hy-AM_26891155.wav,Շինությունը կազմված է երեք ամուր պատերով սենյակներից։
common_voice_hy-AM_26891157.wav,«Մշակույթ» եզրույթը հենց ֆրանսիական ծագում ունի։
common_voice_hy-AM_26891159.wav,Գեորգիի նախնիները գրել են ռուսական առաջին սղագրությունները։
common_voice_hy-AM_26927022.wav,Ձգվում է զուգահեռականի ուղղությամբ։
common_voice_hy-AM_26927024.wav,Վերջիններս պատանդ էին վերցրել երկու թիկնապահի։
common_voice_hy-AM_26927025.wav,Իվանչենկոն նախնական կալանքի կենտրոնում պահվում էր մենակատարման մեջ։
common_voice_hy-AM_26927065.wav,"Եթե դրանք շարքից դուրս են գալիս, ապա փոխարինվում են։"
common_voice_hy-AM_26927066.wav,Սակայն միանշանակ ունիվերսալ լուծումներ դեռ չկան։
common_voice_hy-AM_26927068.wav,"Այս ծրագրերը կարող էին խլել ժամեր, անգամ շաբաթներ աշխատելու համար։"
common_voice_hy-AM_26927069.wav,Սակայն մեկ մրցաշրջան չանկցացնելով նա ակումբից հեռանում է ֆինանսական խնդիրների պատճառով։
common_voice_hy-AM_26927100.wav,"Նիլկեսի դուստր և աշակերտուհի, դիցաբանական և ժանրական տեսարանների նկարչուհի։"
common_voice_hy-AM_26927102.wav,Կրածինը հիմնական կարեւորութիւն ունի մեր մարմինի առողջութեան եւ գործունէութեան պահմանման համար։
common_voice_hy-AM_26927104.wav,"Չկարողանալով անել դա, երեխաները ստիպված են լինում նոր տուն փնտրել։"
common_voice_hy-AM_26927105.wav,Նա ոգեշնչվում է օդանավից բացվող տեսարաններով։
common_voice_hy-AM_26927571.wav,"Բայց միակ բանը, որ կարևոր է աշխատանքային օր ունենալն է։"
common_voice_hy-AM_26927573.wav,Եղանակների հերթափոխը կապ չունի լուսնի փուլերի հետ։
